Series_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Gross
Casablanca,1942,U,102 min,"Drama, Romance, War",8.5,1024560
Modern Times,1936,G,87 min,"Comedy, Drama, Family",8.5,163245
City Lights,1931,G,87 min,"Comedy, Drama, Romance",8.5,19181
Capharnaüm,2018,A,126 min,Drama,8.4,1661096
Ayla: The Daughter of War,2017,,125 min,"Biography, Drama, History",8.4,
Vikram Vedha,2017,UA,147 min,"Action, Crime, Drama",8.4,
Kimi no na wa.,2016,U,106 min,"Animation, Drama, Fantasy",8.4,5017246
Dangal,2016,U,161 min,"Action, Biography, Drama",8.4,12391761
Spider-Man: Into the Spider-Verse,2018,U,117 min,"Animation, Action, Adventure",8.4,190241310
Avengers: Endgame,2019,UA,181 min,"Action, Adventure, Drama",8.4,858373000
Avengers: Infinity War,2018,UA,149 min,"Action, Adventure, Sci-Fi",8.4,678815482
Coco,2017,U,105 min,"Animation, Adventure, Family",8.4,209726015
Django Unchained,2012,A,165 min,"Drama, Western",8.4,162805434
The Dark Knight Rises,2012,UA,164 min,"Action, Adventure",8.4,448139099
3 Idiots,2009,UA,170 min,"Comedy, Drama",8.4,6532908
Taare Zameen Par,2007,U,165 min,"Drama, Family",8.4,1223869
WALL·E,2008,U,98 min,"Animation, Adventure, Family",8.4,223808164
The Lives of Others,2006,A,137 min,"Drama, Mystery, Thriller",8.4,11286112
Oldeuboi,2003,A,101 min,"Action, Drama, Mystery",8.4,707481
Memento,2000,UA,113 min,"Mystery, Thriller",8.4,25544867
Mononoke-hime,1997,U,134 min,"Animation, Action, Adventure",8.4,2375308
Once Upon a Time in America,1984,A,229 min,"Crime, Drama",8.4,5321508
Raiders of the Lost Ark,1981,A,115 min,"Action, Adventure",8.4,248159971
The Shining,1980,A,146 min,"Drama, Horror",8.4,44017374
Apocalypse Now,1979,R,147 min,"Drama, Mystery, War",8.4,83471511
Alien,1979,R,117 min,"Horror, Sci-Fi",8.4,78900000
Anand,1971,U,122 min,"Drama, Musical",8.4,
Tengoku to jigoku,1963,,143 min,"Crime, Drama, Mystery",8.4,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95 min,Comedy,8.4,275902
Witness for the Prosecution,1957,U,116 min,"Crime, Drama, Mystery",8.4,8175000
Paths of Glory,1957,A,88 min,"Drama, War",8.4,
Rear Window,1954,U,112 min,"Mystery, Thriller",8.4,36764313
Sunset Blvd.,1950,Passed,110 min,"Drama, Film-Noir",8.4,
The Great Dictator,1940,Passed,125 min,"Comedy, Drama, War",8.4,288475
1917,2019,R,119 min,"Drama, Thriller, War",8.3,159227644
Tumbbad,2018,A,104 min,"Drama, Fantasy, Horror",8.3,
Andhadhun,2018,UA,139 min,"Crime, Drama, Music",8.3,1373943
Drishyam,2013,U,160 min,"Crime, Drama, Thriller",8.3,
Jagten,2012,R,115 min,Drama,8.3,687185
Jodaeiye Nader az Simin,2011,PG-13,123 min,Drama,8.3,7098492
Incendies,2010,R,131 min,"Drama, Mystery, War",8.3,6857096
Miracle in cell NO.7,2019,TV-14,132 min,Drama,8.3,
Babam ve Oglum,2005,,112 min,"Drama, Family",8.3,
Inglourious Basterds,2009,A,153 min,"Adventure, Drama, War",8.3,120540719
Eternal Sunshine of the Spotless Mind,2004,UA,108 min,"Drama, Romance, Sci-Fi",8.3,34400301
Amélie,2001,U,122 min,"Comedy, Romance",8.3,33225499
Snatch,2000,UA,104 min,"Comedy, Crime",8.3,30328156
Requiem for a Dream,2000,A,102 min,Drama,8.3,3635482
American Beauty,1999,UA,122 min,Drama,8.3,130096601
Good Will Hunting,1997,U,126 min,"Drama, Romance",8.3,138433435
Bacheha-Ye aseman,1997,PG,89 min,"Drama, Family, Sport",8.3,933933
Toy Story,1995,U,81 min,"Animation, Adventure, Comedy",8.3,191796233
Braveheart,1995,A,178 min,"Biography, Drama, History",8.3,75600000
Reservoir Dogs,1992,R,99 min,"Crime, Drama, Thriller",8.3,2832029
